PLAYER_ID,PLAYER_NAME,SHOT_ID,GRID_TYPE,GAME_ID,GAME_EVENT_ID,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYERS_ON,assisted,season_type,year,DEF_ID,DEF_POSITION,DEF_ROLE,D_LEBRON,OFF_POSITION,OFF_ROLE,O_LEBRON
202362,Lance Stephenson,21700809121,Shot Chart Detail,21700809,121,1610612754,Indiana Pacers,1,1,50,Missed Shot,Pullup Jump shot,,Mid-Range,Left Side(L),16-24 ft.,16,-134,94,1,0,20180321,NOP,IND,|202344|202362|202709|203922|2744,0,REG,2018,203580|202703,,,,SG,Shot Creator,-0.3
202362,Lance Stephenson,21700809125,Shot Chart Detail,21700809,125,1610612754,Indiana Pacers,1,1,38,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-232,-4,1,0,20180321,NOP,IND,|202344|202362|202709|203922|2744,0,REG,2018,203580,PG,Point of Attack,-0.69,SG,Shot Creator,-0.3
202709,Cory Joseph,21700809129,Shot Chart Detail,21700809,129,1610612754,Indiana Pacers,1,1,18,Missed Shot,Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,22,-79,213,1,0,20180321,NOP,IND,|202344|202362|202709|203922|2744,0,REG,2018,203580,PG,Point of Attack,-0.69,PG,Primary Ball Handler,-0.55
202709,Cory Joseph,21700809136,Shot Chart Detail,21700809,136,1610612754,Indiana Pacers,1,0,42,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,-48,255,1,0,20180321,NOP,IND,|202344|202362|202709|203922|2744,0,REG,2018,203580,PG,Point of Attack,-0.69,PG,Primary Ball Handler,-0.55
201954,Darren Collison,21700809314,Shot Chart Detail,21700809,314,1610612754,Indiana Pacers,2,0,30,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,14,9,1,0,20180321,NOP,IND,|201954|202344|202362|202709|202711,0,REG,2018,203076|203580,,,,PG,Primary Ball Handler,0.78
201954,Darren Collison,21700809317,Shot Chart Detail,21700809,317,1610612754,Indiana Pacers,2,0,0,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,83,200,1,0,20180321,NOP,IND,|201954|202344|202362|202709|202711,0,REG,2018,203580,PG,Point of Attack,-0.69,PG,Primary Ball Handler,0.78
201569,Eric Gordon,21701036152,Shot Chart Detail,21701036,152,1610612745,Houston Rockets,2,11,42,Made Shot,Dunk Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,4,1,1,20180317,NOP,HOU,|101108|201569|201583|201601|2207,1,REG,2018,203580,PG,Point of Attack,-0.69,SG,Secondary Ball Handler,2.17
101108,Chris Paul,21701036158,Shot Chart Detail,21701036,158,1610612745,Houston Rockets,2,11,12,Missed Shot,Floating Jump shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,24,24,1,0,20180317,NOP,HOU,|101108|201569|201583|201601|2207,0,REG,2018,203580,PG,Point of Attack,-0.69,PG,Shot Creator,4.02
201569,Eric Gordon,21701036168,Shot Chart Detail,21701036,168,1610612745,Houston Rockets,2,9,52,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,73,245,1,0,20180317,NOP,HOU,|101108|201569|201583|201601|2207,0,REG,2018,203580,PG,Point of Attack,-0.69,SG,Secondary Ball Handler,2.17
1627846,Abdel Nader,21701047135,Shot Chart Detail,21701047,135,1610612738,Boston Celtics,1,1,45,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,52,60,1,0,20180318,NOP,BOS,|1627846|1628400|202328|202694|203499,0,REG,2018,203580,PG,Point of Attack,-0.69,SF,Stationary Shooter,-2.43
203499,Shane Larkin,21701047154,Shot Chart Detail,21701047,154,1610612738,Boston Celtics,1,0,19,Missed Shot,Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-34,69,1,0,20180318,NOP,BOS,|1627846|1628400|202328|202694|203499,0,REG,2018,203580,PG,Point of Attack,-0.69,PG,Secondary Ball Handler,-1.27
1627846,Abdel Nader,21701047653,Shot Chart Detail,21701047,653,1610612738,Boston Celtics,4,1,2,Missed Shot,Driving Layup Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,22,69,1,0,20180318,NOP,BOS,|1627824|1627846|1628400|1628443|1628444,0,REG,2018,203580,PG,Point of Attack,-0.69,SF,Stationary Shooter,-2.43
1627824,Guerschon Yabusele,21701047658,Shot Chart Detail,21701047,658,1610612738,Boston Celtics,4,0,29,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-5,10,1,1,20180318,NOP,BOS,|1627824|1627846|1628400|1628443|1628444,1,REG,2018,203580,PG,Point of Attack,-0.69,PF,Stretch Big,-0.73
200826,J.J. Barea,21701061497,Shot Chart Detail,21701061,497,1610612742,Dallas Mavericks,4,7,24,Made Shot,Jump Bank Shot,,Restricted Area,Center(C),Less Than 8 ft.,2,-23,18,1,1,20180320,NOP,DAL,|1627827|1627858|1717|200826|203939,0,REG,2018,203580,PG,Point of Attack,-0.69,PG,Primary Ball Handler,1.63
