GRID_TYPE,GAME_ID,EVENTNUM,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,ASSIST_ID
Shot Chart Detail,41700121,55,204020,Tyler Johnson,1610612748,Miami Heat,1,8,32,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,22,1,0,20180414,PHI,MIA,4170012155,2080,0,201609|201949|202355|204020|1626196,0,PS,2018,201158,-2.0,SG,Low Activity,-1.51,MISS T. Johnson 3' Driving Floating Bank Jump Shot,PG,Movement Shooter,-0.37,
Shot Chart Detail,41700121,70,204020,Tyler Johnson,1610612748,Miami Heat,1,7,30,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-143,28,1,1,20180414,PHI,MIA,4170012170,2700,0,201609|201949|202355|204020|1626196,1,PS,2018,201158|203967,-1.0,,,,,PG,Movement Shooter,-0.37,201949.0
Shot Chart Detail,41700121,275,201609,Goran Dragic,1610612748,Miami Heat,2,6,51,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,207,146,1,0,20180414,PHI,MIA,41700121275,10290,0,201609|201949|203482|1626159|1626196,0,PS,2018,201158,-2.0,SG,Low Activity,-1.51,MISS Dragic 25' 3PT Pullup Jump Shot,PG,Slasher,0.73,
Shot Chart Detail,41700121,562,201961,Wayne Ellington,1610612748,Miami Heat,3,0,27,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,203,140,1,0,20180414,PHI,MIA,41700121562,21330,0,2548|201961|203482|1626159|1628389,0,PS,2018,201158,-12.0,SG,Low Activity,-1.51,MISS Ellington 25' 3PT Pullup Jump Shot,SG,Off Screen Shooter,1.01,
Shot Chart Detail,41700121,675,201609,Goran Dragic,1610612748,Miami Heat,4,6,11,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,-24,90,1,0,20180414,PHI,MIA,41700121675,25090,0,201609|201949|203482|1626159|1626196,0,PS,2018,201158,-25.0,SG,Low Activity,-1.51,MISS Dragic 9' Pullup Jump Shot,PG,Slasher,0.73,
Shot Chart Detail,41700121,680,203482,Kelly Olynyk,1610612748,Miami Heat,4,5,44,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,120,240,1,1,20180414,PHI,MIA,41700121680,25360,0,201609|201949|203482|1626159|1626196,1,PS,2018,201158,-22.0,SG,Low Activity,-1.51,Olynyk 27' 3PT Jump Shot (26 PTS) (Dragic 3 AST),PF,Stretch Big,0.0,201609.0
Shot Chart Detail,41700121,710,201609,Goran Dragic,1610612748,Miami Heat,4,2,24,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,132,224,1,1,20180414,PHI,MIA,41700121710,27360,0,201609|203482|1626159|1626196|1628389,1,PS,2018,201158,-22.0,SG,Low Activity,-1.51,Dragic 26' 3PT Jump Shot (15 PTS) (Richardson 4 AST),PG,Slasher,0.73,1626196.0
Shot Chart Detail,41700122,86,201961,Wayne Ellington,1610612748,Miami Heat,1,5,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-117,249,1,0,20180416,PHI,MIA,4170012286,3910,0,201949|201961|202355|1626159|1626196,0,PS,2018,201158|203967,-2.0,,,,,SG,Off Screen Shooter,1.01,
Shot Chart Detail,41700122,98,201961,Wayne Ellington,1610612748,Miami Heat,1,4,18,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-127,227,1,1,20180416,PHI,MIA,4170012298,4620,0,201949|201961|202355|1626159|1626196,1,PS,2018,201158,-1.0,SG,Low Activity,-1.51,Ellington 26' 3PT Jump Shot (3 PTS) (Richardson 2 AST),SG,Off Screen Shooter,1.01,1626196.0
Shot Chart Detail,41700122,115,201961,Wayne Ellington,1610612748,Miami Heat,1,3,18,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-145,236,1,0,20180416,PHI,MIA,41700122115,5220,0,2548|201961|203482|1626159|1628389,0,PS,2018,201158,-5.0,SG,Low Activity,-1.51,MISS Ellington 28' 3PT Jump Shot,SG,Off Screen Shooter,1.01,
