GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON
Shot Chart Detail,41900161,7,1628470,Torrey Craig,1610612743,Denver Nuggets,1,11,40,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,23,1,0,20200817,DEN,UTA,419001617,200,0,200794|203999|1627750|1628470|1629008,0,PS,2020,1628378,0.0,SG,Chaser,-0.5,MISS Craig 3PT Jump Shot,SF,Athletic Finisher,-1.06
Shot Chart Detail,41900161,19,1629008,Michael Porter Jr.,1610612743,Denver Nuggets,1,10,15,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-24,262,1,1,20200817,DEN,UTA,4190016119,1050,0,200794|203999|1627750|1628470|1629008,0,PS,2020,1628378|203497,2.0,,,,,SF,Athletic Finisher,1.17
Shot Chart Detail,41900161,220,1628420,Monté Morris,1610612743,Denver Nuggets,2,7,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,132,234,1,0,20200817,DEN,UTA,41900161220,10170,0,200794|203924|203999|1628408|1628420,0,PS,2020,1628378,5.0,SG,Chaser,-0.5,MISS Morris 27' 3PT Jump Shot,PG,Primary Ball Handler,0.58
Shot Chart Detail,41900161,242,1627750,Jamal Murray,1610612743,Denver Nuggets,2,5,36,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,5,282,1,1,20200817,DEN,UTA,41900161242,11040,0,200794|203924|203999|1627750|1628470,0,PS,2020,1628378,3.0,SG,Chaser,-0.5,Murray 28' 3PT Pullup Jump Shot (5 PTS),PG,Primary Ball Handler,1.96
Shot Chart Detail,41900161,262,1627750,Jamal Murray,1610612743,Denver Nuggets,2,4,11,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-169,197,1,1,20200817,DEN,UTA,41900161262,11890,0,200794|203999|1627750|1628470|1629008,0,PS,2020,1628378,10.0,SG,Chaser,-0.5,Murray 26' 3PT Pullup Jump Shot (14 PTS),PG,Primary Ball Handler,1.96
Shot Chart Detail,41900161,277,200794,Paul Millsap,1610612743,Denver Nuggets,2,3,14,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-78,8,1,1,20200817,DEN,UTA,41900161277,12460,0,200794|203924|203999|1627750|1629008,0,PS,2020,1628378,,SG,Chaser,-0.5,Millsap 8' Turnaround Fadeaway (2 PTS),PF,Post Scorer,0.37
Shot Chart Detail,41900161,349,203924,Jerami Grant,1610612743,Denver Nuggets,3,9,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,152,221,1,0,20200817,DEN,UTA,41900161349,15820,0,200794|203924|203999|1627750|1629008,0,PS,2020,1628378,3.0,SG,Chaser,-0.5,MISS Grant 27' 3PT Jump Shot,PF,Athletic Finisher,-0.76
Shot Chart Detail,41900161,406,1627750,Jamal Murray,1610612743,Denver Nuggets,3,4,56,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,78,139,1,0,20200817,DEN,UTA,41900161406,18640,0,200794|203924|203999|1627750|1628420,0,PS,2020,1628378,0.0,SG,Chaser,-0.5,MISS Murray 16' Turnaround Fadeaway Shot,PG,Primary Ball Handler,1.96
Shot Chart Detail,41900161,551,203924,Jerami Grant,1610612743,Denver Nuggets,4,7,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-203,179,1,1,20200817,DEN,UTA,41900161551,24600,0,200794|203924|203999|1628420|1628470,1,PS,2020,1628378,-1.0,SG,Chaser,-0.5,Grant 27' 3PT Jump Shot (13 PTS) (Morris 4 AST),PF,Athletic Finisher,-0.76
Shot Chart Detail,41900161,555,203924,Jerami Grant,1610612743,Denver Nuggets,4,6,41,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,8,1,1,20200817,DEN,UTA,41900161555,24790,0,200794|203924|203999|1628420|1628470,1,PS,2020,204060|1628378,1.0,,,,,PF,Athletic Finisher,-0.76
