PLAYER_ID,PLAYER_NAME,SHOT_ID,GRID_TYPE,GAME_ID,EVENTNUM,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYERS_ON,assisted,season_type,time,extra,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,ASSIST_ID
1628402,Frank Jackson,22100498673,Shot Chart Detail,22100498,673,1610612765,Detroit Pistons,4,6,53,Missed Shot,Driving Finger Roll Layup Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-50,16,1,0,20211226,SAS,DET,|1627767|1628402|1628977|1629686|1630180,0,REG,,,2022,1630580,-37.0,SG,Low Activity,-0.52,Wieskamp BLOCK (1 BLK),,,,
1628977,Hamidou Diallo,22100498749,Shot Chart Detail,22100498,749,1610612765,Detroit Pistons,4,3,32,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,124,116,1,1,20211226,SAS,DET,|1628977|1629686|1630180|1630199|1630691,1,REG,,,2022,1630580,-34.0,SG,Low Activity,-0.52,H. Diallo 17' Pullup Jump Shot (26 PTS) (Pickett 1 AST),SG,Athletic Finisher,-1.5,1630691.0
204060,Joe Ingles,22100504687,Shot Chart Detail,22100504,687,1610612762,Utah Jazz,4,0,32,Missed Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-5,31,1,0,20211227,SAS,UTA,|1626220|1630235|203497|203903|204060,0,REG,,,2022,1630580,8.0,SG,Low Activity,-0.52,Wieskamp BLOCK (1 BLK),SF,Movement Shooter,-0.36,
1629639,Tyler Herro,22100521534,Shot Chart Detail,22100521,534,1610612748,Miami Heat,4,9,42,Made Shot,Turnaround Fadeaway shot,,In The Paint (Non-RA),Center(C),8-16 ft.,12,-44,120,1,1,20220203,SAS,MIA,|1628389|1629130|1629216|1629622|1629639,0,REG,,,2022,1630580,23.0,SG,Low Activity,-0.52,Herro 13' Turnaround Fadeaway (18 PTS),SG,Primary Ball Handler,0.17,
1628389,Bam Adebayo,22100521585,Shot Chart Detail,22100521,585,1610612748,Miami Heat,4,6,32,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,20,86,1,0,20220203,SAS,MIA,|1628389|1629130|1629216|1629639|1629657,0,REG,,,2022,1629719|1630580,26.0,,,,,C,Shot Creator,0.61,
1629216,Gabe Vincent,22100521663,Shot Chart Detail,22100521,663,1610612748,Miami Heat,4,1,33,Missed Shot,Pullup Jump shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,118,230,1,0,20220203,SAS,MIA,|1629130|1629216|1629639|1629657|1629735,0,REG,,,2022,1630580,16.0,SG,Low Activity,-0.52,MISS Vincent 26' 3PT Pullup Jump Shot,PG,Primary Ball Handler,-0.91,
1626145,Tyus Jones,22100535652,Shot Chart Detail,22100535,652,1610612763,Memphis Grizzlies,4,3,54,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,13,1,0,20211231,MEM,SAS,|1626145|1628991|1629630|1629634|1629681,0,REG,,,2022,1630580,14.0,SG,Low Activity,-0.52,MISS Jones 1' Driving Floating Jump Shot,PG,Primary Ball Handler,1.11,
1628384,O.G. Anunoby,22100563621,Shot Chart Detail,22100563,621,1610612761,Toronto Raptors,4,7,47,Made Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,27,4,276,1,1,20220104,TOR,SAS,|1627783|1628384|1628449|1630173|1630567,1,REG,,,2022,1630580,28.0,SG,Low Activity,-0.52,Anunoby 28' 3PT Jump Shot (11 PTS) (Barnes 8 AST),SF,Shot Creator,-0.2,1630567.0
1630567,Scottie Barnes,22100563630,Shot Chart Detail,22100563,630,1610612761,Toronto Raptors,4,7,16,Made Shot,Fadeaway Jump Shot,,In The Paint (Non-RA),Left Side(L),8-16 ft.,9,-66,62,1,1,20220104,TOR,SAS,|1628384|1628449|1630173|1630551|1630567,0,REG,,,2022,1630580|1630563,30.0,,,,,PF,Shot Creator,-0.19,
1628384,O.G. Anunoby,22100563637,Shot Chart Detail,22100563,637,1610612761,Toronto Raptors,4,6,8,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,188,187,1,1,20220104,TOR,SAS,|1628384|1628449|1630173|1630551|1630567,0,REG,,,2022,1630580,31.0,SG,Low Activity,-0.52,Anunoby 27' 3PT Pullup Jump Shot (14 PTS),SF,Shot Creator,-0.2,
