GRID_TYPE,GAME_ID,EVENTNUM,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,ASSIST_ID
Shot Chart Detail,22200038,734,1631109,Mark Williams,1610612766,Charlotte Hornets,4,0,56,Missed Shot,Putback Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,29,35,1,0,20221023,ATL,CHA,22200038734,28240,0,1630177|1630539|1630550|1631109|1631121,0,REG,2023,1631213,18.0,SG,Helper,-0.53,MISS Williams 5' Putback Layup,C,Roll + Cut Big,-1.37,
Shot Chart Detail,22200070,529,1630587,Isaiah Livers,1610612765,Detroit Pistons,3,0,0,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,87,245,1,0,20221028,DET,ATL,22200070529,21600,0,202709|1628977|1630165|1630587|1631105,0,REG,2023,1630552|1631213,-12.0,,,,,PF,Movement Shooter,-2.34,
Shot Chart Detail,22200099,643,1630567,Scottie Barnes,1610612761,Toronto Raptors,4,5,49,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-56,256,1,1,20221031,TOR,ATL,22200099643,25310,0,1627783|1629018|1630173|1630567|1631132,0,REG,2023,1631213,27.0,SG,Helper,-0.53,Barnes 26' 3PT Running Pull-Up Jump Shot (21 PTS),SF,Shot Creator,0.35,
Shot Chart Detail,22200099,671,1630551,Justin Champagnie,1610612761,Toronto Raptors,4,4,12,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,40,15,1,1,20221031,TOR,ATL,22200099671,26280,0,1627823|1630201|1630288|1630551|1630625,1,REG,2023,1631213|1630249,29.0,,,,,SF,Low Minute,-0.27,1630625.0
Shot Chart Detail,22200110,672,1629628,RJ Barrett,1610612752,New York Knicks,4,0,59,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,4,9,1,1,20221102,NYK,ATL,22200110672,28210,0,203944|1628973|1629628|1629656|1630193,1,REG,2023,1631213,-13.0,SG,Helper,-0.53,Barrett 1' Driving Layup (16 PTS) (Grimes 1 AST),SG,Secondary Ball Handler,-0.1,1629656.0
Shot Chart Detail,22200110,684,1629628,RJ Barrett,1610612752,New York Knicks,4,0,12,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,6,1,1,20221102,NYK,ATL,22200110684,28680,0,203944|1628973|1629628|1629656|1630193,0,REG,2023,1631213,-13.0,SG,Helper,-0.53,Barrett 1' Driving Layup (19 PTS),SG,Secondary Ball Handler,-0.1,
Shot Chart Detail,22200214,577,1630202,Payton Pritchard,1610612738,Boston Celtics,4,4,41,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,14,74,130,1,1,20221116,ATL,BOS,22200214577,25990,0,201933|1628382|1628436|1630202|1630573,0,REG,2023,1631213,31.0,SG,Helper,-0.53,Pritchard 15' Pullup Jump Shot (14 PTS),PG,Movement Shooter,-0.54,
Shot Chart Detail,22200404,537,1630533,Ziaire Williams,1610612763,Memphis Grizzlies,4,11,10,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,6,1,0,20221212,MEM,ATL,22200404537,22100,0,1628415|1628991|1629634|1630533|1631113,0,REG,2023,1631213|1630249,26.0,,,,,SF,Athletic Finisher,-2.27,
Shot Chart Detail,22200404,548,1628991,Jaren Jackson Jr.,1610612763,Memphis Grizzlies,4,10,37,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-29,32,1,1,20221212,MEM,ATL,22200404548,22430,0,1628415|1628991|1629634|1630533|1631113,0,REG,2023,1630168|1631213,28.0,,,,,C,Versatile Big,1.13,
Shot Chart Detail,22200404,570,1630533,Ziaire Williams,1610612763,Memphis Grizzlies,4,9,2,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-151,215,1,0,20221212,MEM,ATL,22200404570,23380,0,1628415|1628991|1629634|1630533|1631113,0,REG,2023,1631213,26.0,SG,Helper,-0.53,MISS Williams 26' 3PT Jump Shot,SF,Athletic Finisher,-2.27,
