PLAYER_ID,PLAYER_NAME,SHOT_ID,GRID_TYPE,GAME_ID,GAME_EVENT_ID,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYERS_ON,assisted,season_type,year,DEF_ID,DEF_POSITION,DEF_ROLE,D_LEBRON
1628404,Josh Hart,22200771246,Shot Chart Detail,22200771,246,1610612757,Portland Trail Blazers,2,7,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-137,220,1,0,20230201,MEM,POR,|1628404|1629014|1630570|203081|203924,0,REG,2023,201980,SG,Chaser,-0.41
1627780,Gary Payton II,22200771552,Shot Chart Detail,22200771,552,1610612757,Portland Trail Blazers,4,9,19,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,0,20230201,MEM,POR,|1627780|1629014|1629642|1630570|1631101,0,REG,2023,1629634|201980,,,
1629632,Coby White,22200819193,Shot Chart Detail,22200819,193,1610612741,Chicago Bulls,2,10,32,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,24,64,241,1,0,20230207,MEM,CHI,|1627884|1629632|1630245|201609|203083,0,REG,2023,201980,SG,Chaser,-0.41
201609,Goran Dragic,22200819212,Shot Chart Detail,22200819,212,1610612741,Chicago Bulls,2,9,19,Missed Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,24,15,243,1,0,20230207,MEM,CHI,|1627884|1629632|1630245|201609|203083,0,REG,2023,201980,SG,Chaser,-0.41
1630245,Ayo Dosunmu,22200819546,Shot Chart Detail,22200819,546,1610612741,Chicago Bulls,4,11,26,Made Shot,Driving Floating Jump Shot,,Mid-Range,Right Side(R),8-16 ft.,11,85,73,1,1,20230207,MEM,CHI,|1627884|1629632|1630245|201609|203083,1,REG,2023,201980,SG,Chaser,-0.41
1629632,Coby White,22200819564,Shot Chart Detail,22200819,564,1610612741,Chicago Bulls,4,9,26,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-164,199,1,0,20230207,MEM,CHI,|1627884|1629632|1630245|201609|203083,0,REG,2023,201980,SG,Chaser,-0.41
201935,James Harden,22200875270,Shot Chart Detail,22200875,270,1610612755,Philadelphia 76ers,2,2,47,Missed Shot,Step Back Jump shot,,Above the Break 3,Center(C),24+ ft.,25,80,247,1,0,20230215,PHI,CLE,|1629001|200782|201935|202699|203954,0,REG,2023,201980|1629636,,,
201935,James Harden,22200875296,Shot Chart Detail,22200875,296,1610612755,Philadelphia 76ers,2,0,49,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,28,104,260,1,1,20230215,PHI,CLE,|1629001|200782|201935|202699|203954,1,REG,2023,201980,SG,Chaser,-0.41
1630178,Tyrese Maxey,22200875419,Shot Chart Detail,22200875,419,1610612755,Philadelphia 76ers,3,1,24,Made Shot,Putback Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20230215,PHI,CLE,|1627777|1629003|1629667|1630178|203954,0,REG,2023,201980,SG,Chaser,-0.41
1629003,Shake Milton,22200875458,Shot Chart Detail,22200875,458,1610612755,Philadelphia 76ers,4,11,39,Made Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,129,225,1,1,20230215,PHI,CLE,|1627777|1629003|1629667|1630178|1630194,1,REG,2023,201980,SG,Chaser,-0.41
1630194,Paul Reed,22200875498,Shot Chart Detail,22200875,498,1610612755,Philadelphia 76ers,4,8,53,Made Shot,Driving Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,0,2,1,1,1,20230215,PHI,CLE,|1629001|1630178|1630194|201935|202699,1,REG,2023,201980,SG,Chaser,-0.41
1627749,Dejounte Murray,22200896255,Shot Chart Detail,22200896,255,1610612737,Atlanta Hawks,2,5,22,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,-39,165,1,1,20230224,ATL,CLE,|1627749|1629631|1630168|1630552|1631100,0,REG,2023,201980,SG,Chaser,-0.41
1630180,Saddiq Bey,22200896307,Shot Chart Detail,22200896,307,1610612737,Atlanta Hawks,2,1,49,Made Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-233,25,1,1,20230224,ATL,CLE,|1627749|1629027|1629631|1630180|203991,0,REG,2023,201980,SG,Chaser,-0.41
1629027,Trae Young,22200896620,Shot Chart Detail,22200896,620,1610612737,Atlanta Hawks,4,3,15,Made Shot,Step Back Jump shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,123,225,1,1,20230224,ATL,CLE,|1627749|1629027|1629631|1630180|203991,0,REG,2023,201980,SG,Chaser,-0.41
