PLAYER_ID,PLAYER_NAME,SHOT_ID,GRID_TYPE,GAME_ID,GAME_EVENT_ID,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYERS_ON,assisted,season_type,year,DEF_ID,DEF_POSITION,DEF_ROLE,D_LEBRON,OFF_POSITION,OFF_ROLE,O_LEBRON
1626156,D'Angelo Russell,4220015151,Shot Chart Detail,42200151,51,1610612747,Los Angeles Lakers,1,7,48,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-134,168,1,0,20230416,MEM,LAL,|1626156|1629020|1630559|203076|2544,0,PS,2023,1630217,SG,Chaser,-0.03,PG,Primary Ball Handler,0.65
1626156,D'Angelo Russell,42200151100,Shot Chart Detail,42200151,100,1610612747,Los Angeles Lakers,1,4,33,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-51,43,1,1,20230416,MEM,LAL,|1626156|1628972|1629060|203076|203471,0,PS,2023,1628379|1630217,,,,PG,Primary Ball Handler,0.65
203076,Anthony Davis,42200151105,Shot Chart Detail,42200151,105,1610612747,Los Angeles Lakers,1,3,58,Made Shot,Turnaround Hook Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,54,2,1,1,20230416,MEM,LAL,|1626156|1628972|1629060|203076|203471,0,PS,2023,1628991|1630217,,,,C,Shot Creator,3.1
1626156,D'Angelo Russell,42200151109,Shot Chart Detail,42200151,109,1610612747,Los Angeles Lakers,1,3,34,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-37,69,1,0,20230416,MEM,LAL,|1626156|1628972|1629060|203076|203471,0,PS,2023,1630217,SG,Chaser,-0.03,PG,Primary Ball Handler,0.65
203471,Dennis Schroder,42200151119,Shot Chart Detail,42200151,119,1610612747,Los Angeles Lakers,1,2,54,Missed Shot,Running Jump Shot,,Mid-Range,Left Side Center(LC),16-24 ft.,22,-156,157,1,0,20230416,MEM,LAL,|1626156|1628972|1629060|203076|203471,0,PS,2023,1630217,SG,Chaser,-0.03,PG,Primary Ball Handler,0.04
1628972,Troy Brown Jr.,42200151129,Shot Chart Detail,42200151,129,1610612747,Los Angeles Lakers,1,2,27,Made Shot,Jump Bank Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,24,81,236,1,1,20230416,MEM,LAL,|1627736|1628972|1629060|203076|203471,1,PS,2023,1630217,SG,Chaser,-0.03,SF,Athletic Finisher,-1.11
203471,Dennis Schroder,42200151170,Shot Chart Detail,42200151,170,1610612747,Los Angeles Lakers,2,11,19,Made Shot,Pullup Jump shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,126,217,1,1,20230416,MEM,LAL,|1627736|1628972|1629060|203471|2544,0,PS,2023,1630217,SG,Chaser,-0.03,PG,Primary Ball Handler,0.04
1627736,Malik Beasley,42200151182,Shot Chart Detail,42200151,182,1610612747,Los Angeles Lakers,2,10,11,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-191,170,1,0,20230416,MEM,LAL,|1627736|1628972|1629060|203471|2544,0,PS,2023,1630217,SG,Chaser,-0.03,SG,Off Screen Shooter,-0.98
2544,LeBron James,42200151186,Shot Chart Detail,42200151,186,1610612747,Los Angeles Lakers,2,9,53,Missed Shot,Driving Floating Jump Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-28,21,1,0,20230416,MEM,LAL,|1627736|1628972|1629060|203471|2544,0,PS,2023,1630217,SG,Chaser,-0.03,PF,Shot Creator,3.66
1629060,Rui Hachimura,42200151188,Shot Chart Detail,42200151,188,1610612747,Los Angeles Lakers,2,9,49,Made Shot,Layup Shot,,Restricted Area,Center(C),Less Than 8 ft.,3,-31,25,1,1,20230416,MEM,LAL,|1627736|1628972|1629060|203471|2544,1,PS,2023,1630217|1628415,,,,PF,Shot Creator,-1.27
