GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,DEF_POSITION,DEF_ROLE,D_LEBRON
Shot Chart Detail,42300124,194,204456,T.J. McConnell,1610612754,Indiana Pacers,2,9,46,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,14,146,2,1,0,20240428,IND,MIL,42300124194,8540,0,204456|1627783|1630167|1630174|1641767,0,PS,2024,201568,SF,,0.1
Shot Chart Detail,42300124,205,204456,T.J. McConnell,1610612754,Indiana Pacers,2,8,49,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,10,1,1,20240428,IND,MIL,42300124205,9110,0,204456|1626167|1627783|1630174|1641767,0,PS,2024,201568|1631260,,,
Shot Chart Detail,42300124,225,1626167,Myles Turner,1610612754,Indiana Pacers,2,7,22,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,20,1,1,20240428,IND,MIL,42300124225,9980,0,1626167|1629614|1630167|1630169|1630174,1,PS,2024,203114|201568,,,
Shot Chart Detail,42300124,442,204456,T.J. McConnell,1610612754,Indiana Pacers,3,3,25,Made Shot,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,8,88,1,1,1,20240428,IND,MIL,42300124442,19550,0,204456|1627783|1629614|1630167|1630174,1,PS,2024,1626192|201568,,,
Shot Chart Detail,42300124,475,1629614,Andrew Nembhard,1610612754,Indiana Pacers,3,0,23,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-224,1,1,1,20240428,IND,MIL,42300124475,21370,0,204456|1626167|1627783|1629614|1630174,1,PS,2024,201568,SF,,0.1
Shot Chart Detail,42300125,111,203926,Doug McDermott,1610612754,Indiana Pacers,1,2,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,119,210,1,1,20240430,MIL,IND,42300125111,5780,0,203926|204456|1627783|1630167|1641767,1,PS,2024,201568,SF,,0.1
Shot Chart Detail,42300125,210,1630169,Tyrese Haliburton,1610612754,Indiana Pacers,2,6,12,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,11,105,1,1,20240430,MIL,IND,42300125210,10680,0,1626167|1627783|1629614|1630169|1630174,0,PS,2024,201568,SF,,0.1
Shot Chart Detail,42300125,381,204456,T.J. McConnell,1610612754,Indiana Pacers,3,3,59,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,2,62,1,1,20240430,MIL,IND,42300125381,19210,0,204456|1630167|1630169|1630543|1641767,0,PS,2024,201568|1626192,,,
Shot Chart Detail,42300125,482,1627783,Pascal Siakam,1610612754,Indiana Pacers,4,9,36,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,12,94,1,0,20240430,MIL,IND,42300125482,23040,0,1626167|1627783|1629614|1630169|1630174,0,PS,2024,201568,SF,,0.1
Shot Chart Detail,42300125,493,1627783,Pascal Siakam,1610612754,Indiana Pacers,4,8,58,Made Shot,Putback Layup Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-69,54,1,1,20240430,MIL,IND,42300125493,23420,0,1626167|1627783|1629614|1630169|1630174,0,PS,2024,201568|1627736,,,
Shot Chart Detail,42300125,588,204456,T.J. McConnell,1610612754,Indiana Pacers,4,1,11,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,5,43,1,0,20240430,MIL,IND,42300125588,28090,0,203926|204456|1630167|1630543|1641716,0,PS,2024,201568,SF,,0.1
