GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON
Shot Chart Detail,22400012,103,1628398,Kyle Kuzma,1610612764,Washington Wizards,1,5,15,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,5,1,1,20241115,ATL,WAS,22400012103,4050,0,1628398|1629673|1630557|1641731|1642259,1,REG,2025,1629027,10.0,PG,Low Activity,-1.5856726718676522,Kuzma 1' Layup (9 PTS) (Poole 2 AST),PF,Movement Shooter,-1.2391790827710465
Shot Chart Detail,22400012,251,1629673,Jordan Poole,1610612764,Washington Wizards,2,7,36,Missed Shot,Running Pull-Up Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,15,105,119,1,0,20241115,ATL,WAS,22400012251,9840,0,1628398|1629673|1630557|1641731|1642259,0,REG,2025,1629027|1642258,1.0,,,,,SG,Primary Ball Handler,0.2701285047931059
Shot Chart Detail,22400012,327,1628398,Kyle Kuzma,1610612764,Washington Wizards,2,2,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-132,211,1,0,20241115,ATL,WAS,22400012327,12740,0,1628398|1629673|1641731|1642259|1642267,0,REG,2025,1629027,-8.0,PG,Low Activity,-1.5856726718676522,MISS Kuzma 25' 3PT Jump Shot,PF,Movement Shooter,-1.2391790827710465
Shot Chart Detail,22400012,364,1629673,Jordan Poole,1610612764,Washington Wizards,2,0,34,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-172,183,1,0,20241115,ATL,WAS,22400012364,14060,0,1628398|1629673|1630557|1642259|1642267,0,REG,2025,1629027,-14.0,PG,Low Activity,-1.5856726718676522,MISS Poole 25' 3PT Running Jump Shot,SG,Primary Ball Handler,0.2701285047931059
Shot Chart Detail,22400012,368,1629673,Jordan Poole,1610612764,Washington Wizards,2,0,29,Made Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-4,253,1,1,20241115,ATL,WAS,22400012368,14110,0,1628398|1629673|1630557|1642259|1642267,0,REG,2025,1629027,-11.0,PG,Low Activity,-1.5856726718676522,Poole 25' 3PT Running Pull-Up Jump Shot (16 PTS),SG,Primary Ball Handler,0.2701285047931059
Shot Chart Detail,22400012,470,1628398,Kyle Kuzma,1610612764,Washington Wizards,3,5,49,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-25,252,1,0,20241115,ATL,WAS,22400012470,18110,0,1628398|1629673|1641731|1642259|1642267,0,REG,2025,1629027,-10.0,PG,Low Activity,-1.5856726718676522,MISS Kuzma 25' 3PT Jump Shot,PF,Movement Shooter,-1.2391790827710465
Shot Chart Detail,22400012,494,1642273,Kyshawn George,1610612764,Washington Wizards,3,4,46,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-227,-12,1,0,20241115,ATL,WAS,22400012494,18740,0,202685|1630557|1641731|1642267|1642273,0,REG,2025,1629027,-14.0,PG,Low Activity,-1.5856726718676522,MISS George 3PT Jump Shot,SG,Movement Shooter,-2.574640811657007
Shot Chart Detail,22400012,601,1629673,Jordan Poole,1610612764,Washington Wizards,4,9,12,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,134,216,1,0,20241115,ATL,WAS,22400012601,23280,0,202685|1629673|1630557|1641731|1642273,0,REG,2025,1629027,-22.0,PG,Low Activity,-1.5856726718676522,MISS Poole 25' 3PT Jump Shot,SG,Primary Ball Handler,0.2701285047931059
Shot Chart Detail,22400012,697,1641731,Bilal Coulibaly,1610612764,Washington Wizards,4,1,15,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,12,1,1,20241115,ATL,WAS,22400012697,28050,0,1630557|1641731|1642259|1642267|1642273,0,REG,2025,1629027,-15.0,PG,Low Activity,-1.5856726718676522,Coulibaly 2' Running Dunk (9 PTS),SF,Secondary Ball Handler,-2.472895473429156
Shot Chart Detail,22400012,701,1630557,Corey Kispert,1610612764,Washington Wizards,4,1,1,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,85,253,1,1,20241115,ATL,WAS,22400012701,28190,0,1630557|1641731|1642259|1642267|1642273,1,REG,2025,1629027,-12.0,PG,Low Activity,-1.5856726718676522,Kispert 27' 3PT Jump Shot (16 PTS) (George 4 AST),SF,Off Screen Shooter,-1.5617837928897822
Shot Chart Detail,22400012,740,1642267,Bub Carrington,1610612764,Washington Wizards,4,0,13,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,148,202,1,0,20241115,ATL,WAS,22400012740,28670,0,1630557|1641731|1642259|1642267|1642273,0,REG,2025,1629027,-14.0,PG,Low Activity,-1.5856726718676522,MISS Carrington 25' 3PT Pullup Jump Shot,PG,Primary Ball Handler,-2.8821827594005507
Shot Chart Detail,22400030,36,1630581,Josh Giddey,1610612741,Chicago Bulls,1,9,5,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,55,113,1,1,20241122,CHI,ATL,2240003036,1750,0,202696|203897|1629632|1630245|1630581,0,REG,2025,1629027,4.0,PG,Low Activity,-1.5856726718676522,Giddey 13' Driving Floating Jump Shot (4 PTS),PG,Primary Ball Handler,0.8832788987175907
Shot Chart Detail,22400030,51,1630245,Ayo Dosunmu,1610612741,Chicago Bulls,1,7,38,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-225,-17,1,1,20241122,CHI,ATL,2240003051,2620,0,202696|203897|1629632|1630245|1630581,1,REG,2025,1629027,5.0,PG,Low Activity,-1.5856726718676522,Dosunmu 3PT Jump Shot (5 PTS) (White 2 AST),SG,Primary Ball Handler,-0.5799321319875864
Shot Chart Detail,22400030,332,1629632,Coby White,1610612741,Chicago Bulls,2,0,10,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-136,208,1,0,20241122,CHI,ATL,22400030332,14300,0,202696|203897|1629632|1630245|1631207,0,REG,2025,1629027,9.0,PG,Low Activity,-1.5856726718676522,MISS White 25' 3PT Pullup Jump Shot,SG,Primary Ball Handler,0.9470946252807017
Shot Chart Detail,22400030,371,1629632,Coby White,1610612741,Chicago Bulls,3,9,57,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,6,1,1,20241122,CHI,ATL,22400030371,15630,0,202696|203897|1629632|1630245|1630581,1,REG,2025,1629027,14.0,PG,Low Activity,-1.5856726718676522,White 1' Driving Finger Roll Layup (9 PTS) (Dosunmu 3 AST),SG,Primary Ball Handler,0.9470946252807017
Shot Chart Detail,22400030,375,1629632,Coby White,1610612741,Chicago Bulls,3,9,35,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-180,180,1,1,20241122,CHI,ATL,22400030375,15850,0,202696|203897|1629632|1630245|1630581,1,REG,2025,1629027,15.0,PG,Low Activity,-1.5856726718676522,White 25' 3PT Pullup Jump Shot (12 PTS) (Dosunmu 4 AST),SG,Primary Ball Handler,0.9470946252807017
Shot Chart Detail,22400030,407,203897,Zach LaVine,1610612741,Chicago Bulls,3,6,45,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,5,2,1,1,20241122,CHI,ATL,22400030407,17550,0,202696|203897|1630245|1630581|1641824,1,REG,2025,203992|1629027,15.0,,,,,SF,Shot Creator,0.8169960090385975
Shot Chart Detail,22400030,619,1630581,Josh Giddey,1610612741,Chicago Bulls,4,5,11,Missed Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-233,26,1,0,20241122,CHI,ATL,22400030619,25690,0,202696|203897|1629632|1630581|1631207,0,REG,2025,1629027,19.0,PG,Low Activity,-1.5856726718676522,MISS Giddey 3PT Running Jump Shot,PG,Primary Ball Handler,0.8832788987175907
Shot Chart Detail,22400030,643,203897,Zach LaVine,1610612741,Chicago Bulls,4,3,8,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-232,107,1,1,20241122,CHI,ATL,22400030643,26920,0,202696|203897|1629632|1630245|1630581,1,REG,2025,1629027,14.0,PG,Low Activity,-1.5856726718676522,LaVine 26' 3PT Step Back Jump Shot (23 PTS) (Vučević 3 AST),SF,Shot Creator,0.8169960090385975
Shot Chart Detail,22400041,7,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,1,11,45,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,17,1,1,20241129,ATL,CLE,224000417,150,0,1628378|1628386|1629636|1630171|1630596,1,REG,2025,1629027,2.0,PG,Low Activity,-1.5856726718676522,Mobley 2' Driving Layup (2 PTS) (Garland 1 AST),PF,Roll + Cut Big,1.7057837958672455
Shot Chart Detail,22400041,46,1630171,Isaac Okoro,1610612739,Cleveland Cavaliers,1,9,2,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-6,20,1,0,20241129,ATL,CLE,2240004146,1780,0,1628378|1628386|1629636|1630171|1630596,0,REG,2025,1629027|1642258,6.0,,,,,SG,Stationary Shooter,-0.8872251736416814
Shot Chart Detail,22400041,83,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,6,7,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-94,239,1,0,20241129,ATL,CLE,2240004183,3530,0,1627747|1627777|1628386|1629636|1630171,0,REG,2025,1629027,3.0,PG,Low Activity,-1.5856726718676522,MISS Garland 26' 3PT Step Back Jump Shot,PG,Primary Ball Handler,3.203678201147739
Shot Chart Detail,22400041,108,1630241,Sam Merrill,1610612739,Cleveland Cavaliers,1,4,36,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-34,254,1,0,20241129,ATL,CLE,22400041108,4440,0,1627747|1627777|1628386|1629636|1630241,0,REG,2025,1630168|1629027,5.0,,,,,SG,Movement Shooter,0.2219066684823765
Shot Chart Detail,22400041,129,1630241,Sam Merrill,1610612739,Cleveland Cavaliers,1,2,35,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-78,247,1,0,20241129,ATL,CLE,22400041129,5650,0,1627747|1627777|1628378|1630241|1630596,0,REG,2025,1629027,2.0,PG,Low Activity,-1.5856726718676522,MISS Merrill 26' 3PT Jump Shot,SG,Movement Shooter,0.2219066684823765
