GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,DEF_POSITION,DEF_ROLE,D_LEBRON
Shot Chart Detail,22400680,182,1630194,Paul Reed,1610612765,Detroit Pistons,2,9,48,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20250131,DET,DAL,22400680182,8520,0,1627736|1630194|1630595|1631323|1641842,0,REG,2025,203957,PG,Point of Attack,-0.6663309056315627
Shot Chart Detail,22400680,188,1641842,Ronald Holland II,1610612765,Detroit Pistons,2,9,10,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,4,1,1,20250131,DET,DAL,22400680188,8900,0,1627736|1630194|1630595|1631323|1641842,1,REG,2025,203957,PG,Point of Attack,-0.6663309056315627
Shot Chart Detail,22400680,314,203501,Tim Hardaway Jr.,1610612765,Detroit Pistons,2,2,19,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,0,75,1,0,20250131,DET,DAL,22400680314,13010,0,202699|203501|1630595|1631105|1641709,0,REG,2025,203957,PG,Point of Attack,-0.6663309056315627
Shot Chart Detail,22400680,316,1631105,Jalen Duren,1610612765,Detroit Pistons,2,2,17,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20250131,DET,DAL,22400680316,13030,0,202699|203501|1630595|1631105|1641709,0,REG,2025,1629655|203957|1629023,,,
Shot Chart Detail,22400680,331,1631105,Jalen Duren,1610612765,Detroit Pistons,2,0,41,Missed Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-23,7,1,0,20250131,DET,DAL,22400680331,13990,0,202699|203501|1630595|1631105|1641709,0,REG,2025,203957,PG,Point of Attack,-0.6663309056315627
Shot Chart Detail,22400680,511,202699,Tobias Harris,1610612765,Detroit Pistons,4,11,41,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,16,-103,124,1,0,20250131,DET,DAL,22400680511,21790,0,202699|1627736|1631105|1631204|1641842,0,REG,2025,203957,PG,Point of Attack,-0.6663309056315627
Shot Chart Detail,22400680,536,1631204,Marcus Sasser,1610612765,Detroit Pistons,4,9,50,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,96,241,1,0,20250131,DET,DAL,22400680536,22900,0,202699|1627736|1631105|1631204|1641842,0,REG,2025,203957,PG,Point of Attack,-0.6663309056315627
Shot Chart Detail,22400680,541,1641842,Ronald Holland II,1610612765,Detroit Pistons,4,9,40,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-6,21,1,1,20250131,DET,DAL,22400680541,23000,0,202699|1627736|1631105|1631204|1641842,0,REG,2025,203957,PG,Point of Attack,-0.6663309056315627
Shot Chart Detail,22400680,647,1631204,Marcus Sasser,1610612765,Detroit Pistons,4,3,50,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,158,194,1,0,20250131,DET,DAL,22400680647,26500,0,203501|1630194|1630595|1631204|1641709,0,REG,2025,203957,PG,Point of Attack,-0.6663309056315627
Shot Chart Detail,22400680,656,1630194,Paul Reed,1610612765,Detroit Pistons,4,3,6,Missed Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-12,34,1,0,20250131,DET,DAL,22400680656,26940,0,203501|1630194|1630595|1631204|1641709,0,REG,2025,203957|1630556,,,
Shot Chart Detail,22400696,33,1628378,Donovan Mitchell,1610612739,Cleveland Cavaliers,1,9,4,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,15,1,0,20250202,CLE,DAL,2240069633,1760,0,1628378|1628386|1629622|1629636|1630596,0,REG,2025,203957|203915,,,
Shot Chart Detail,22400696,39,1629636,Darius Garland,1610612739,Cleveland Cavaliers,1,8,40,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-195,183,1,1,20250202,CLE,DAL,2240069639,2000,0,1628378|1628386|1629622|1629636|1630596,0,REG,2025,203957,PG,Point of Attack,-0.6663309056315627
Shot Chart Detail,22400696,306,1629636,Darius Garland,1610612739,Cleveland Cavaliers,2,3,7,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,62,36,1,1,20250202,CLE,DAL,22400696306,12530,0,1627747|1628378|1629622|1629636|1630596,1,REG,2025,203957|1630283,,,
Shot Chart Detail,22400696,347,1628378,Donovan Mitchell,1610612739,Cleveland Cavaliers,2,0,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-213,178,1,1,20250202,CLE,DAL,22400696347,14070,0,1627747|1628378|1629622|1629636|1630596,1,REG,2025,203957,PG,Point of Attack,-0.6663309056315627
Shot Chart Detail,22400696,391,1630596,Evan Mobley,1610612739,Cleveland Cavaliers,3,9,23,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-9,3,1,1,20250202,CLE,DAL,22400696391,15970,0,1628378|1628386|1629622|1629636|1630596,1,REG,2025,203957,PG,Point of Attack,-0.6663309056315627
Shot Chart Detail,22400696,414,1629636,Darius Garland,1610612739,Cleveland Cavaliers,3,6,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-13,278,1,0,20250202,CLE,DAL,22400696414,17440,0,1628378|1628386|1629622|1629636|1630596,0,REG,2025,203957,PG,Point of Attack,-0.6663309056315627
Shot Chart Detail,22400712,32,1627824,Guerschon Yabusele,1610612755,Philadelphia 76ers,1,8,38,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-26,20,1,1,20250204,PHI,DAL,2240071232,2020,0,203954|1626162|1627824|1630178|1642348,1,REG,2025,203957,PG,Point of Attack,-0.6663309056315627
Shot Chart Detail,22400712,402,1627824,Guerschon Yabusele,1610612755,Philadelphia 76ers,3,8,7,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,12,17,1,1,20250204,PHI,DAL,22400712402,16730,0,203954|1626162|1627824|1630178|1642348,1,REG,2025,203957,PG,Point of Attack,-0.6663309056315627
Shot Chart Detail,22400712,545,203954,Joel Embiid,1610612755,Philadelphia 76ers,4,10,7,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,21,-67,205,1,0,20250204,PHI,DAL,22400712545,22730,0,202704|203954|1626162|1641737|1641741,0,REG,2025,203957,PG,Point of Attack,-0.6663309056315627
