GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON
Shot Chart Detail,22500002,74,1630559,Austin Reaves,1610612747,Los Angeles Lakers,1,5,46,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-38,267,1,0,20251021,LAL,GSW,2250000274,3740,0,203935|1629028|1629029|1629060|1630559,0,REG,2026,1627780,SG,NA_INDEX,,MISS Reaves 27' 3PT Jump Shot,SG,NA_INDEX,
Shot Chart Detail,22500002,90,1629029,Luka Dončić,1610612747,Los Angeles Lakers,1,5,14,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-167,228,1,0,20251021,LAL,GSW,2250000290,4060,0,203935|1629028|1629029|1629060|1630559,0,REG,2026,1627780,SG,NA_INDEX,,MISS Doncic 28' 3PT Step Back Jump Shot,PG,NA_INDEX,
Shot Chart Detail,22500002,111,1629029,Luka Dončić,1610612747,Los Angeles Lakers,1,4,7,Made Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,12,-61,110,1,1,20251021,LAL,GSW,22500002111,4730,0,203935|1629028|1629029|1629060|1631222,0,REG,2026,1627780,SG,NA_INDEX,,Doncic 13' Pullup Jump Shot (8 PTS),PG,NA_INDEX,
Shot Chart Detail,22500002,453,1630559,Austin Reaves,1610612747,Los Angeles Lakers,3,6,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,165,211,1,0,20251021,LAL,GSW,22500002453,17790,0,1629028|1629029|1629060|1629216|1630559,0,REG,2026,1627780,SG,NA_INDEX,,MISS Reaves 27' 3PT Jump Shot,SG,NA_INDEX,
Shot Chart Detail,22500002,666,1630559,Austin Reaves,1610612747,Los Angeles Lakers,4,1,52,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-146,231,1,1,20251021,LAL,GSW,22500002666,27680,0,1629028|1629029|1629060|1629216|1630559,1,REG,2026,1627780,SG,NA_INDEX,,Reaves 27' 3PT Pullup Jump Shot (24 PTS) (Doncic 9 AST),SG,NA_INDEX,
Shot Chart Detail,22500002,677,1630559,Austin Reaves,1610612747,Los Angeles Lakers,4,0,43,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,10,1,1,20251021,LAL,GSW,22500002677,28370,0,1629028|1629029|1629060|1629216|1630559,0,REG,2026,1627780,SG,NA_INDEX,,Reaves 1' Driving Layup (26 PTS),SG,NA_INDEX,
Shot Chart Detail,22500006,69,1627750,Jamal Murray,1610612743,Denver Nuggets,1,5,53,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-114,79,1,1,20251023,GSW,DEN,2250000669,3670,0,203932|203999|1627750|1629661|1631128,0,REG,2026,1627780,SG,NA_INDEX,,Murray 14' Pullup Jump Shot (6 PTS),PG,NA_INDEX,
Shot Chart Detail,22500006,71,1631128,Christian Braun,1610612743,Denver Nuggets,1,5,24,Made Shot,Cutting Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,44,9,1,1,20251023,GSW,DEN,2250000671,3960,0,203932|203999|1627750|1629661|1631128,1,REG,2026,1627780,SG,NA_INDEX,,Braun 4' Cutting Dunk Shot (4 PTS) (Jokic 2 AST),SG,NA_INDEX,
Shot Chart Detail,22500006,90,203501,Tim Hardaway Jr.,1610612743,Denver Nuggets,1,4,10,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,229,125,1,0,20251023,GSW,DEN,2250000690,4700,0,203501|203932|203999|1629661|1631128,0,REG,2026,1627780,SG,NA_INDEX,,MISS Hardaway Jr. 26' 3PT Running Jump Shot,SG,NA_INDEX,
Shot Chart Detail,22500006,110,203932,Aaron Gordon,1610612743,Denver Nuggets,1,3,0,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,0,250,1,1,20251023,GSW,DEN,22500006110,5400,0,203501|203932|203999|1628971|1631128,1,REG,2026,1627780,SG,NA_INDEX,,Gordon 25' 3PT Jump Shot (8 PTS) (Brown 1 AST),PF,NA_INDEX,
