GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,ASSIST_ID,EVENTNUM
Shot Chart Detail,22500033,12,203952,Andrew Wiggins,1610612748,Miami Heat,1,10,55,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,205,133,1,1,20251107,MIA,CHA,2250003312,650,0,203952|1626181|1630558|1641796|1642276,0,REG,2026,1628970,4.0,PF,Wing Stopper,-0.8932281995001751,Wiggins 24' 3PT Jump Shot (3 PTS),SF,Shot Creator,-1.049216475244631,,12
Shot Chart Detail,22500033,95,1631107,Nikola Jović,1610612748,Miami Heat,1,4,23,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-21,28,1,0,20251107,MIA,CHA,2250003395,4570,0,1626181|1630558|1631107|1631170|1641796,0,REG,2026,1628970,8.0,PF,Wing Stopper,-0.8932281995001751,MISS Jovic 4' Running Layup,PF,Shot Creator,-1.1742069676397686,,95
Shot Chart Detail,22500033,115,1631107,Nikola Jović,1610612748,Miami Heat,1,3,23,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,5,13,1,0,20251107,MIA,CHA,22500033115,5170,0,1630696|1631107|1631170|1631323|1641796,0,REG,2026,1628970,8.0,PF,Wing Stopper,-0.8932281995001751,MISS Jovic 1' Driving Layup,PF,Shot Creator,-1.1742069676397686,,115
Shot Chart Detail,22500033,227,203952,Andrew Wiggins,1610612748,Miami Heat,2,7,49,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,11,254,1,0,20251107,MIA,CHA,22500033227,9710,0,203952|1630558|1631107|1631170|1631323,0,REG,2026,1628970,21.0,PF,Wing Stopper,-0.8932281995001751,MISS Wiggins 25' 3PT Pullup Jump Shot,SF,Shot Creator,-1.049216475244631,,227
Shot Chart Detail,22500033,276,1642276,Kel'el Ware,1610612748,Miami Heat,2,4,26,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-233,88,1,0,20251107,MIA,CHA,22500033276,11740,0,1626181|1630558|1631170|1641796|1642276,0,REG,2026,1628970,10.0,PF,Wing Stopper,-0.8932281995001751,MISS Ware 25' 3PT Jump Shot,C,Stretch Big,-0.3470858816398734,,276
Shot Chart Detail,22500033,306,203952,Andrew Wiggins,1610612748,Miami Heat,2,2,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-230,104,1,0,20251107,MIA,CHA,22500033306,12830,0,203952|1630558|1631107|1631170|1642276,0,REG,2026,1628970,4.0,PF,Wing Stopper,-0.8932281995001751,MISS Wiggins 25' 3PT Jump Shot,SF,Shot Creator,-1.049216475244631,,306
Shot Chart Detail,22500033,319,203952,Andrew Wiggins,1610612748,Miami Heat,2,1,29,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-45,23,1,0,20251107,MIA,CHA,22500033319,13510,0,203952|1630558|1631107|1631170|1641796,0,REG,2026,1628970,1.0,PF,Wing Stopper,-0.8932281995001751,MISS Wiggins 5' Driving Floating Jump Shot,SF,Shot Creator,-1.049216475244631,,319
Shot Chart Detail,22500033,340,1631107,Nikola Jović,1610612748,Miami Heat,2,0,6,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-5,58,1,1,20251107,MIA,CHA,22500033340,14340,0,203952|1630558|1631107|1631170|1641796,1,REG,2026,1628970,3.0,PF,Wing Stopper,-0.8932281995001751,Jovic 6' Hook Shot (8 PTS) (Wiggins 3 AST),PF,Shot Creator,-1.1742069676397686,203952.0,340
Shot Chart Detail,22500033,361,1626181,Norman Powell,1610612748,Miami Heat,3,10,52,Made Shot,Running Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,9,1,1,20251107,MIA,CHA,22500033361,15080,0,203952|1626181|1630558|1641796|1642276,1,REG,2026,1628970,5.0,PF,Wing Stopper,-0.8932281995001751,Powell 1' Running Reverse Layup (13 PTS) (Mitchell 5 AST),SG,Shot Creator,1.3269912973134752,1630558.0,361
Shot Chart Detail,22500033,379,203952,Andrew Wiggins,1610612748,Miami Heat,3,9,28,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,22,-2,1,0,20251107,MIA,CHA,22500033379,15920,0,203952|1626181|1630558|1641796|1642276,0,REG,2026,1628970,7.0,PF,Wing Stopper,-0.8932281995001751,MISS Wiggins 2' Driving Layup,SF,Shot Creator,-1.049216475244631,,379
Shot Chart Detail,22500033,401,203952,Andrew Wiggins,1610612748,Miami Heat,3,7,50,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,22,62,1,0,20251107,MIA,CHA,22500033401,16900,0,203952|1626181|1630558|1641796|1642276,0,REG,2026,1628970,4.0,PF,Wing Stopper,-0.8932281995001751,MISS Wiggins 7' Driving Finger Roll Layup,SF,Shot Creator,-1.049216475244631,,401
Shot Chart Detail,22500033,472,1626181,Norman Powell,1610612748,Miami Heat,3,3,15,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,9,1,1,20251107,MIA,CHA,22500033472,19650,0,1626181|1630558|1631107|1631170|1641796,1,REG,2026,1642862|1628970,7.0,,,,,SG,Shot Creator,1.3269912973134752,1631107.0,472
Shot Chart Detail,22500033,583,203952,Andrew Wiggins,1610612748,Miami Heat,4,7,35,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,39,16,1,0,20251107,MIA,CHA,22500033583,24250,0,203952|1630696|1631170|1631323|1642276,0,REG,2026,1628970,8.0,PF,Wing Stopper,-0.8932281995001751,MISS Wiggins 4' Driving Layup,SF,Shot Creator,-1.049216475244631,,583
Shot Chart Detail,22500033,647,1642276,Kel'el Ware,1610612748,Miami Heat,4,3,7,Missed Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,107,-5,1,0,20251107,MIA,CHA,22500033647,26930,0,203952|1626181|1630558|1631170|1642276,0,REG,2026,1628970,10.0,PF,Wing Stopper,-0.8932281995001751,MISS Ware 11' Floating Jump Shot,C,Stretch Big,-0.3470858816398734,,647
