GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON
Shot Chart Detail,21800008,182,101139,CJ Miles,1610612761,Toronto Raptors,2,11,13,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,112,243,1,1,20181017,TOR,CLE,21800008182,7670,0,101139|201586|201980|1626181|1627832,1,REG,2019,1626224|202684,5.0,,,,,SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800008,189,101139,CJ Miles,1610612761,Toronto Raptors,2,10,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,232,97,1,0,20181017,TOR,CLE,21800008189,8090,0,101139|201586|201980|1626181|1627832,0,REG,2019,1626224,3.0,SF,Wing Stopper,-1.21,MISS Miles 25' 3PT Jump Shot,SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800008,533,101139,CJ Miles,1610612761,Toronto Raptors,4,10,51,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,78,248,1,0,20181017,TOR,CLE,21800008533,22290,0,101139|201586|1626181|1627832|1628384,0,REG,2019,1627790,11.0,C,Anchor Big,0.16,MISS Miles 26' 3PT Step Back Jump Shot,SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800019,132,101139,CJ Miles,1610612761,Toronto Raptors,1,2,3,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,32,261,1,0,20181019,TOR,BOS,21800019132,5970,0,101139|202685|1626181|1627832|1628384,0,REG,2019,202694,-2.0,PF,Helper,-0.01,MISS Miles 26' 3PT Jump Shot,SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800019,166,101139,CJ Miles,1610612761,Toronto Raptors,1,0,33,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,131,227,1,0,20181019,TOR,BOS,21800019166,6870,0,101139|202685|1626181|1627832|1628384,0,REG,2019,202694,-4.0,PF,Helper,-0.01,MISS Miles 26' 3PT Jump Shot,SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800019,169,101139,CJ Miles,1610612761,Toronto Raptors,1,0,0,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,52,274,1,0,20181019,TOR,BOS,21800019169,7200,0,101139|202685|1626181|1627832|1628384,0,REG,2019,203935,-7.0,SG,Wing Stopper,1.2,MISS Miles 28' 3PT Step Back Jump Shot,SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800019,469,101139,CJ Miles,1610612761,Toronto Raptors,3,1,46,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-29,1,1,1,20181019,TOR,BOS,21800019469,20540,0,101139|201980|202685|1627832|1628384,1,REG,2019,1627759,5.0,SG,Wing Stopper,0.37,Miles 3' Driving Layup (2 PTS) (VanVleet 3 AST),SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800019,519,101139,CJ Miles,1610612761,Toronto Raptors,4,10,18,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,17,-58,162,1,0,20181019,TOR,BOS,21800019519,22620,0,101139|202685|1626181|1627832|1628384,0,REG,2019,203382|203935,3.0,,,,,SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800019,541,101139,CJ Miles,1610612761,Toronto Raptors,4,9,9,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-210,167,1,0,20181019,TOR,BOS,21800019541,23310,0,101139|202685|1626181|1627832|1628384,0,REG,2019,203382,2.0,C,Anchor Big,0.87,MISS Miles 27' 3PT Running Jump Shot,SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800027,146,101139,CJ Miles,1610612761,Toronto Raptors,1,2,44,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,14,56,1,0,20181020,WAS,TOR,21800027146,5560,0,101139|201586|1626181|1627783|1627832,0,REG,2019,,,,,,,SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800027,160,101139,CJ Miles,1610612761,Toronto Raptors,1,2,14,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,17,66,1,0,20181020,WAS,TOR,21800027160,5860,0,101139|201586|203485|1627783|1627832,0,REG,2019,,,,,,,SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800027,175,101139,CJ Miles,1610612761,Toronto Raptors,1,1,5,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,11,21,1,1,20181020,WAS,TOR,21800027175,6550,0,101139|201586|203485|1627783|1627832,0,REG,2019,203107,4.0,PG,Point of Attack,-0.03,Miles 2' Putback Layup (3 PTS),SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800027,178,101139,CJ Miles,1610612761,Toronto Raptors,1,0,36,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,9,268,1,0,20181020,WAS,TOR,21800027178,6840,0,101139|201586|203485|1627783|1627832,0,REG,2019,201160,4.0,C-PF,Anchor Big,-0.34,MISS Miles 27' 3PT Jump Shot,SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800027,371,101139,CJ Miles,1610612761,Toronto Raptors,3,11,39,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,4,15,1,1,20181020,WAS,TOR,21800027371,14610,0,101139|200768|201980|202685|1628384,1,REG,2019,101133,,C,Anchor Big,1.32,Miles 2' Driving Dunk (5 PTS) (Lowry 8 AST),SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800027,410,101139,CJ Miles,1610612761,Toronto Raptors,3,8,38,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,3,20,1,1,20181020,WAS,TOR,21800027410,16420,0,101139|200768|201980|202685|1627783,1,REG,2019,202693,-1.0,PF,Mobile Big,-0.04,Miles 2' Driving Reverse Layup (7 PTS) (Lowry 9 AST),SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800027,436,101139,CJ Miles,1610612761,Toronto Raptors,3,7,14,Missed Shot,Running Pull-Up Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,9,-90,23,1,0,20181020,WAS,TOR,21800027436,17260,0,101139|200768|201586|201980|1627783,0,REG,2019,202693,-0.0,PF,Mobile Big,-0.04,Mahinmi BLOCK (1 BLK),SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800041,148,101139,CJ Miles,1610612761,Toronto Raptors,1,0,31,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,43,277,1,0,20181022,TOR,CHA,21800041148,6890,0,101139|202685|1626181|1627832|1628384,0,REG,2019,203077,7.0,PF,Wing Stopper,0.95,MISS Miles 28' 3PT Running Pull-Up Jump Shot,SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800041,163,101139,CJ Miles,1610612761,Toronto Raptors,1,0,0,Missed Shot,Turnaround Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-52,261,1,0,20181022,TOR,CHA,21800041163,7200,0,101139|202685|1626181|1627832|1628384,0,REG,2019,1628370,9.0,SG,Low Activity,-1.1,MISS Miles 27' 3PT Turnaround Jump Shot,SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800041,233,101139,CJ Miles,1610612761,Toronto Raptors,2,6,11,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,217,158,1,1,20181022,TOR,CHA,21800041233,10690,0,101139|200768|202685|202695|1628384,1,REG,2019,1626195,11.0,C,Anchor Big,-0.41,Miles 27' 3PT Running Jump Shot (5 PTS) (Lowry 6 AST),SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800041,484,101139,CJ Miles,1610612761,Toronto Raptors,4,11,21,Missed Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-183,184,1,0,20181022,TOR,CHA,21800041484,21990,0,101139|202685|1626181|1627832|1628384,0,REG,2019,1628970,18.0,SF,Helper,0.15,MISS Miles 26' 3PT Running Jump Shot,SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800041,548,101139,CJ Miles,1610612761,Toronto Raptors,4,6,51,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,10,91,43,1,1,20181022,TOR,CHA,21800041548,24690,0,101139|200768|202685|202695|1627832,0,REG,2019,1628970,19.0,SF,Helper,0.15,Miles 10' Driving Floating Bank Jump Shot (7 PTS),SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800055,122,101139,CJ Miles,1610612761,Toronto Raptors,1,2,37,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,20,37,1,0,20181024,TOR,MIN,21800055122,5630,0,101139|201586|201980|1626153|1628384,0,REG,2019,1629006,10.0,SG,Wing Stopper,0.86,MISS Miles 4' Driving Floating Jump Shot,SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800055,164,101139,CJ Miles,1610612761,Toronto Raptors,2,11,30,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-240,5,1,0,20181024,TOR,MIN,21800055164,7500,0,101139|202685|202695|1626153|1628384,0,REG,2019,201565,7.0,PG,Chaser,-2.09,MISS Miles 24' 3PT Jump Shot,SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800055,173,101139,CJ Miles,1610612761,Toronto Raptors,2,10,44,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-230,6,1,0,20181024,TOR,MIN,21800055173,7960,0,101139|202685|202695|1626153|1628384,0,REG,2019,201565,4.0,PG,Chaser,-2.09,MISS Miles 3PT Jump Shot,SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800069,151,101139,CJ Miles,1610612761,Toronto Raptors,1,1,10,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,230,1,1,1,20181026,TOR,DAL,21800069151,6500,0,101139|201586|203485|1626181|1627781,1,REG,2019,200826,17.0,PG,Point of Attack,-0.92,Miles 3PT Jump Shot (3 PTS) (Ibaka 1 AST),SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800069,191,101139,CJ Miles,1610612761,Toronto Raptors,2,10,51,Made Shot,Running Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-236,10,1,1,20181026,TOR,DAL,21800069191,7890,0,101139|201586|202695|203485|1626181,1,REG,2019,1628467,14.0,PF,Wing Stopper,1.07,Miles 24' 3PT Running Jump Shot (6 PTS) (Leonard 3 AST),SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800069,208,101139,CJ Miles,1610612761,Toronto Raptors,2,9,37,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,10,23,1,0,20181026,TOR,DAL,21800069208,8630,0,101139|201586|202695|203485|1626181,0,REG,2019,1628467,14.0,PF,Wing Stopper,1.07,MISS Miles 3' Running Layup,SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800069,231,101139,CJ Miles,1610612761,Toronto Raptors,2,8,15,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,16,1,1,20181026,TOR,DAL,21800069231,9450,0,101139|201586|202695|203485|1626181,0,REG,2019,1629029,,SG,Low Activity,-0.28,Miles 2' Running Dunk (8 PTS),SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800069,253,101139,CJ Miles,1610612761,Toronto Raptors,2,6,33,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,0,1,1,20181026,TOR,DAL,21800069253,10470,0,101139|200768|202685|202695|1627783,1,REG,2019,1629029,11.0,SG,Low Activity,-0.28,Miles 1' Cutting Layup Shot (10 PTS) (Lowry 6 AST),SF,Off Screen Shooter,-1.12
Shot Chart Detail,21800069,419,101139,CJ Miles,1610612761,Toronto Raptors,3,4,34,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,14,1,0,20181026,TOR,DAL,21800069419,18860,0,101139|200768|201586|201980|202695,0,REG,2019,1628467,5.0,PF,Wing Stopper,1.07,MISS Miles 2' Driving Finger Roll Layup,SF,Off Screen Shooter,-1.12
