PLAYER_ID,PLAYER_NAME,SHOT_ID,GRID_TYPE,GAME_ID,GAME_EVENT_ID,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYERS_ON,assisted,season_type,year,DEF_ID,DEF_POSITION,DEF_ROLE,D_LEBRON,OFF_POSITION,OFF_ROLE,O_LEBRON
203114,Khris Middleton,419001017,Shot Chart Detail,41900101,7,1610612749,Milwaukee Bucks,1,11,38,Made Shot,Driving Floating Jump Shot,,Mid-Range,Center(C),8-16 ft.,15,-14,157,1,1,20200818,MIL,ORL,|201572|202083|202339|203114|203507,1,PS,2020,203516,SF-SG,Helper,-0.44,SF,Shot Creator,2.48
203114,Khris Middleton,4190010153,Shot Chart Detail,41900101,53,1610612749,Milwaukee Bucks,1,6,49,Missed Shot,Pullup Jump shot,,Mid-Range,Left Side(L),8-16 ft.,10,-101,0,1,0,20200818,MIL,ORL,|201572|202083|202339|203114|203507,0,PS,2020,202696,C,Anchor Big,1.76,SF,Shot Creator,2.48
203114,Khris Middleton,41900101169,Shot Chart Detail,41900101,169,1610612749,Milwaukee Bucks,2,10,35,Made Shot,Step Back Jump shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,111,243,1,1,20200818,MIL,ORL,|201572|202339|203114|203507|2594,1,PS,2020,1628411,SF,Chaser,0.25,SF,Shot Creator,2.48
203114,Khris Middleton,41900101195,Shot Chart Detail,41900101,195,1610612749,Milwaukee Bucks,2,8,44,Missed Shot,Pullup Jump shot,,Above the Break 3,Center(C),24+ ft.,28,-4,281,1,0,20200818,MIL,ORL,|101107|201572|202339|203114|2594,0,PS,2020,203095,SF,Chaser,0.01,SF,Shot Creator,2.48
203114,Khris Middleton,41900101207,Shot Chart Detail,41900101,207,1610612749,Milwaukee Bucks,2,7,42,Missed Shot,Turnaround Fadeaway shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,78,11,1,0,20200818,MIL,ORL,|101107|201572|202339|203114|2594,0,PS,2020,203920,C,Anchor Big,0.41,SF,Shot Creator,2.48
203114,Khris Middleton,41900101222,Shot Chart Detail,41900101,222,1610612749,Milwaukee Bucks,2,7,17,Missed Shot,Pullup Jump shot,,Mid-Range,Right Side Center(RC),16-24 ft.,19,90,177,1,0,20200818,MIL,ORL,|101107|201572|201588|202083|203114,0,PS,2020,203095,SF,Chaser,0.01,SF,Shot Creator,2.48
203114,Khris Middleton,41900101243,Shot Chart Detail,41900101,243,1610612749,Milwaukee Bucks,2,5,36,Missed Shot,Driving Floating Jump Shot,,In The Paint (Non-RA),Center(C),8-16 ft.,12,-47,117,1,0,20200818,MIL,ORL,|101107|201572|201588|202083|203114,0,PS,2020,203095,SF,Chaser,0.01,SF,Shot Creator,2.48
203114,Khris Middleton,41900101419,Shot Chart Detail,41900101,419,1610612749,Milwaukee Bucks,3,6,24,Missed Shot,Jump Shot,,Left Corner 3,Left Side(L),24+ ft.,23,-232,-13,1,0,20200818,MIL,ORL,|101107|202083|202339|203114|203507,0,PS,2020,1628365,PG,Point of Attack,0.69,SF,Shot Creator,2.48
203114,Khris Middleton,41900101431,Shot Chart Detail,41900101,431,1610612749,Milwaukee Bucks,3,5,17,Missed Shot,Pullup Jump shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,103,232,1,0,20200818,MIL,ORL,|101107|1628978|201588|203114|203507,0,PS,2020,1629109|203516,,,,SF,Shot Creator,2.48
203114,Khris Middleton,41900101580,Shot Chart Detail,41900101,580,1610612749,Milwaukee Bucks,4,8,54,Made Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-128,233,1,1,20200818,MIL,ORL,|1626192|201572|202083|202339|203114,1,PS,2020,1628411,SF,Chaser,0.25,SF,Shot Creator,2.48
203114,Khris Middleton,41900101615,Shot Chart Detail,41900101,615,1610612749,Milwaukee Bucks,4,6,32,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,93,247,1,0,20200818,MIL,ORL,|201572|201588|202083|203114|203507,0,PS,2020,203095,SF,Chaser,0.01,SF,Shot Creator,2.48
203114,Khris Middleton,41900101619,Shot Chart Detail,41900101,619,1610612749,Milwaukee Bucks,4,6,12,Made Shot,Pullup Jump shot,,Mid-Range,Right Side(R),8-16 ft.,12,98,84,1,1,20200818,MIL,ORL,|201572|201588|202083|203114|203507,1,PS,2020,203082,SG,Low Activity,-1.54,SF,Shot Creator,2.48
203114,Khris Middleton,419001027,Shot Chart Detail,41900102,7,1610612749,Milwaukee Bucks,1,11,44,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,26,223,146,1,0,20200820,MIL,ORL,|201572|202083|202339|203114|203507,0,PS,2020,203095,SF,Chaser,0.01,SF,Shot Creator,2.48
203114,Khris Middleton,4190010226,Shot Chart Detail,41900102,26,1610612749,Milwaukee Bucks,1,9,50,Missed Shot,Pullup Jump shot,,Above the Break 3,Left Side Center(LC),24+ ft.,26,-101,241,1,0,20200820,MIL,ORL,|201572|202083|202339|203114|203507,0,PS,2020,1629109|203516,,,,SF,Shot Creator,2.48
203114,Khris Middleton,4190010281,Shot Chart Detail,41900102,81,1610612749,Milwaukee Bucks,1,6,38,Missed Shot,Pullup Jump shot,,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-63,88,1,0,20200820,MIL,ORL,|201572|202083|202339|203114|203507,0,PS,2020,202696|1629109,,,,SF,Shot Creator,2.48
203114,Khris Middleton,41900102106,Shot Chart Detail,41900102,106,1610612749,Milwaukee Bucks,1,5,25,Made Shot,Pullup Jump shot,,Mid-Range,Left Side(L),8-16 ft.,13,-87,99,1,1,20200820,MIL,ORL,|101107|1628978|201572|202339|203114,0,PS,2020,202696|203920,,,,SF,Shot Creator,2.48
203114,Khris Middleton,41900102283,Shot Chart Detail,41900102,283,1610612749,Milwaukee Bucks,2,5,39,Missed Shot,Pullup Jump shot,,Mid-Range,Left Side Center(LC),16-24 ft.,18,-103,157,1,0,20200820,MIL,ORL,|201577|201588|202083|203114|2594,0,PS,2020,203516,SF-SG,Helper,-0.44,SF,Shot Creator,2.48
203114,Khris Middleton,41900102472,Shot Chart Detail,41900102,472,1610612749,Milwaukee Bucks,3,6,23,Missed Shot,Jump Shot,,Above the Break 3,Right Side Center(RC),24+ ft.,25,218,132,1,0,20200820,MIL,ORL,|201572|202083|202339|203114|203507,0,PS,2020,1628365,PG,Point of Attack,0.69,SF,Shot Creator,2.48
203114,Khris Middleton,41900102581,Shot Chart Detail,41900102,581,1610612749,Milwaukee Bucks,4,10,42,Missed Shot,Pullup Jump shot,,Mid-Range,Right Side Center(RC),16-24 ft.,16,95,136,1,0,20200820,MIL,ORL,|201572|201588|203114|203507|2594,0,PS,2020,1628411,SF,Chaser,0.25,SF,Shot Creator,2.48
203114,Khris Middleton,41900102622,Shot Chart Detail,41900102,622,1610612749,Milwaukee Bucks,4,7,43,Missed Shot,Jump Shot,,Above the Break 3,Left Side Center(LC),24+ ft.,25,-117,228,1,0,20200820,MIL,ORL,|101107|201572|202339|203114|2594,0,PS,2020,203082,SG,Low Activity,-1.54,SF,Shot Creator,2.48
203114,Khris Middleton,4190010321,Shot Chart Detail,41900103,21,1610612749,Milwaukee Bucks,1,9,42,Missed Shot,Pullup Jump shot,,Mid-Range,Left Side Center(LC),16-24 ft.,22,-114,196,1,0,20200822,ORL,MIL,|201572|202083|202339|203114|203507,0,PS,2020,203516,SF-SG,Helper,-0.44,SF,Shot Creator,2.48
203114,Khris Middleton,4190010333,Shot Chart Detail,41900103,33,1610612749,Milwaukee Bucks,1,8,22,Missed Shot,Driving Floating Bank Jump Shot,,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-50,12,1,0,20200822,ORL,MIL,|201572|202083|202339|203114|203507,0,PS,2020,203516,SF-SG,Helper,-0.44,SF,Shot Creator,2.48
203114,Khris Middleton,4190010336,Shot Chart Detail,41900103,36,1610612749,Milwaukee Bucks,1,7,53,Missed Shot,Pullup Jump shot,,Left Corner 3,Left Side(L),24+ ft.,22,-229,-1,1,0,20200822,ORL,MIL,|201572|202083|202339|203114|203507,0,PS,2020,203095,SF,Chaser,0.01,SF,Shot Creator,2.48
203114,Khris Middleton,4190010347,Shot Chart Detail,41900103,47,1610612749,Milwaukee Bucks,1,6,45,Made Shot,Pullup Jump shot,,Above the Break 3,Center(C),24+ ft.,25,-55,247,1,1,20200822,ORL,MIL,|201572|202083|202339|203114|203507,0,PS,2020,202696,C,Anchor Big,1.76,SF,Shot Creator,2.48
203114,Khris Middleton,4190010367,Shot Chart Detail,41900103,67,1610612749,Milwaukee Bucks,1,5,17,Made Shot,Pullup Jump shot,,Mid-Range,Left Side(L),16-24 ft.,20,-171,121,1,1,20200822,ORL,MIL,|101107|201572|202083|202339|203114,0,PS,2020,203516,SF-SG,Helper,-0.44,SF,Shot Creator,2.48
203114,Khris Middleton,4190010379,Shot Chart Detail,41900103,79,1610612749,Milwaukee Bucks,1,4,46,Missed Shot,Turnaround Jump Shot,,Mid-Range,Left Side(L),8-16 ft.,11,-112,15,1,0,20200822,ORL,MIL,|101107|1628978|201572|201588|203114,0,PS,2020,1628411,SF,Chaser,0.25,SF,Shot Creator,2.48
203114,Khris Middleton,41900103224,Shot Chart Detail,41900103,224,1610612749,Milwaukee Bucks,2,7,19,Made Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,25,-63,244,1,1,20200822,ORL,MIL,|101107|202083|202339|203114|203507,1,PS,2020,203082,SG,Low Activity,-1.54,SF,Shot Creator,2.48
203114,Khris Middleton,41900103228,Shot Chart Detail,41900103,228,1610612749,Milwaukee Bucks,2,6,55,Made Shot,Pullup Jump shot,,Mid-Range,Center(C),8-16 ft.,15,-12,159,1,1,20200822,ORL,MIL,|101107|202083|202339|203114|203507,1,PS,2020,203082,SG,Low Activity,-1.54,SF,Shot Creator,2.48
203114,Khris Middleton,41900103240,Shot Chart Detail,41900103,240,1610612749,Milwaukee Bucks,2,6,19,Missed Shot,Turnaround Jump Shot,,Mid-Range,Right Side Center(RC),16-24 ft.,16,81,149,1,0,20200822,ORL,MIL,|101107|201572|202083|202339|203114,0,PS,2020,1628365,PG,Point of Attack,0.69,SF,Shot Creator,2.48
203114,Khris Middleton,41900103324,Shot Chart Detail,41900103,324,1610612749,Milwaukee Bucks,2,1,3,Missed Shot,Pullup Jump shot,,Above the Break 3,Left Side Center(LC),24+ ft.,27,-138,242,1,0,20200822,ORL,MIL,|1628978|201588|203114|203507|2594,0,PS,2020,202696,C,Anchor Big,1.76,SF,Shot Creator,2.48
203114,Khris Middleton,41900103348,Shot Chart Detail,41900103,348,1610612749,Milwaukee Bucks,3,11,31,Made Shot,Jump Shot,,Above the Break 3,Center(C),24+ ft.,26,6,266,1,1,20200822,ORL,MIL,|201572|202083|202339|203114|203507,1,PS,2020,1629109,SF-PF,Helper,-1.01,SF,Shot Creator,2.48
