GRID_TYPE,GAME_ID,EVENTNUM,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,ASSIST_ID
Shot Chart Detail,41900166,117,203914,Gary Harris,1610612743,Denver Nuggets,1,2,1,Missed Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-31,9,1,0,20200830,UTA,DEN,41900166117,5990,0,203486|203914|1627750|1628470|1629008,0,PS,2020,203903|1627777,-5.0,,,,,SG,Movement Shooter,-1.3,
Shot Chart Detail,41900166,240,203914,Gary Harris,1610612743,Denver Nuggets,2,7,13,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,228,29,1,0,20200830,UTA,DEN,41900166240,10070,0,203914|203924|203999|1628420|1629008,0,PS,2020,201144,3.0,PG,Point of Attack,-0.57,MISS Harris 3PT Jump Shot,SG,Movement Shooter,-1.3,
Shot Chart Detail,41900166,251,203914,Gary Harris,1610612743,Denver Nuggets,2,6,17,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,47,29,1,1,20200830,UTA,DEN,41900166251,10630,0,203914|203924|203999|1628420|1629008,1,PS,2020,201144|1627777,5.0,,,,,SG,Movement Shooter,-1.3,1628420.0
Shot Chart Detail,41900166,518,203914,Gary Harris,1610612743,Denver Nuggets,4,9,36,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,162,211,1,0,20200830,UTA,DEN,41900166518,23040,0,203486|203914|1627750|1628470|1629008,0,PS,2020,1628378,9.0,SG,Chaser,-0.5,MISS Harris 27' 3PT Running Pull-Up Jump Shot,SG,Movement Shooter,-1.3,
Shot Chart Detail,41900167,133,203914,Gary Harris,1610612743,Denver Nuggets,2,11,6,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-152,198,1,0,20200901,DEN,UTA,41900167133,7740,0,203486|203914|1627750|1628470|1629008,0,PS,2020,204060,8.0,PF,Chaser,0.68,MISS Harris 25' 3PT Jump Shot,SG,Movement Shooter,-1.3,
Shot Chart Detail,41900167,145,203914,Gary Harris,1610612743,Denver Nuggets,2,10,22,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,141,218,1,1,20200901,DEN,UTA,41900167145,8180,0,203486|203914|1627750|1628470|1629008,1,PS,2020,1627777,11.0,PF,Low Activity,-0.57,Harris 26' 3PT Jump Shot (3 PTS) (Murray 3 AST),SG,Movement Shooter,-1.3,1627750.0
Shot Chart Detail,41900167,296,203914,Gary Harris,1610612743,Denver Nuggets,2,0,14,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,17,41,1,0,20200901,DEN,UTA,41900167296,14260,0,203914|203924|1627750|1628420|1628470,0,PS,2020,204060,14.0,PF,Chaser,0.68,MISS Harris 4' Driving Floating Jump Shot,SG,Movement Shooter,-1.3,
Shot Chart Detail,41900167,395,203914,Gary Harris,1610612743,Denver Nuggets,3,3,37,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,21,-12,218,1,0,20200901,DEN,UTA,41900167395,19430,0,203914|203924|203999|1627750|1628470,0,PS,2020,1626220|203497,7.0,,,,,SG,Movement Shooter,-1.3,
Shot Chart Detail,41900167,438,203914,Gary Harris,1610612743,Denver Nuggets,3,0,7,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side(R),16-24 ft.,19,194,10,1,0,20200901,DEN,UTA,41900167438,21530,0,203486|203914|1627750|1628470|1629008,0,PS,2020,1626220,5.0,SF,Wing Stopper,1.24,MISS Harris 19' Step Back Jump Shot,SG,Movement Shooter,-1.3,
Shot Chart Detail,41900167,452,203914,Gary Harris,1610612743,Denver Nuggets,4,10,56,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,18,1,0,20200901,DEN,UTA,41900167452,22240,0,203486|203914|1627750|1628470|1629008,0,PS,2020,203903,5.0,SG,Chaser,-1.68,MISS Harris 2' Running Layup,SG,Movement Shooter,-1.3,
Shot Chart Detail,41900167,463,203914,Gary Harris,1610612743,Denver Nuggets,4,10,8,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,0,1,0,20200901,DEN,UTA,41900167463,22720,0,203486|203914|1627750|1628470|1629008,0,PS,2020,201144,3.0,PG,Point of Attack,-0.57,MISS Harris 3PT Jump Shot,SG,Movement Shooter,-1.3,
Shot Chart Detail,41900167,473,203914,Gary Harris,1610612743,Denver Nuggets,4,9,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,168,179,1,0,20200901,DEN,UTA,41900167473,22990,0,203914|203924|203999|1627750|1628470,0,PS,2020,201144,1.0,PG,Point of Attack,-0.57,MISS Harris 25' 3PT Jump Shot,SG,Movement Shooter,-1.3,
Shot Chart Detail,41900167,540,203914,Gary Harris,1610612743,Denver Nuggets,4,3,38,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,216,122,1,0,20200901,DEN,UTA,41900167540,26620,0,203914|203924|203999|1627750|1628470,0,PS,2020,1626220,2.0,SF,Wing Stopper,1.24,MISS Harris 25' 3PT Jump Shot,SG,Movement Shooter,-1.3,
Shot Chart Detail,41900231,13,203914,Gary Harris,1610612743,Denver Nuggets,1,11,1,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),16-24 ft.,20,-200,58,1,1,20200903,LAC,DEN,4190023113,590,0,200794|203914|203924|203999|1627750,1,PS,2020,1627826,2.0,C,Anchor Big,1.5,Harris 21' Step Back Jump Shot (2 PTS) (Murray 1 AST),SG,Movement Shooter,-1.3,1627750.0
Shot Chart Detail,41900231,26,203914,Gary Harris,1610612743,Denver Nuggets,1,9,41,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,177,187,1,0,20200903,LAC,DEN,4190023126,1390,0,200794|203914|203924|203999|1627750,0,PS,2020,202331,1.0,SF,Wing Stopper,0.41,MISS Harris 26' 3PT Jump Shot,SG,Movement Shooter,-1.3,
Shot Chart Detail,41900231,71,203914,Gary Harris,1610612743,Denver Nuggets,1,5,22,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-226,42,1,1,20200903,LAC,DEN,4190023171,3980,0,200794|203914|203924|203999|1627750,1,PS,2020,1627826,4.0,C,Anchor Big,1.5,Harris 3PT Jump Shot (5 PTS) (Grant 2 AST),SG,Movement Shooter,-1.3,203924.0
Shot Chart Detail,41900231,378,203914,Gary Harris,1610612743,Denver Nuggets,3,7,47,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,15,1,0,20200903,LAC,DEN,41900231378,16930,0,200794|203914|203924|203999|1627750,0,PS,2020,202331,-18.0,SF,Wing Stopper,0.41,MISS Harris 3PT Jump Shot,SG,Movement Shooter,-1.3,
Shot Chart Detail,41900231,476,203914,Gary Harris,1610612743,Denver Nuggets,4,11,28,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-166,209,1,0,20200903,LAC,DEN,41900231476,21920,0,203486|203914|1628420|1628470|1629008,0,PS,2020,203210|202331,-26.0,,,,,SG,Movement Shooter,-1.3,
Shot Chart Detail,41900232,7,203914,Gary Harris,1610612743,Denver Nuggets,1,11,45,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,197,163,1,1,20200905,LAC,DEN,419002327,150,0,200794|203914|203924|203999|1627750,0,PS,2020,201976,3.0,PG,Wing Stopper,2.06,Harris 26' 3PT Pullup Jump Shot (3 PTS),SG,Movement Shooter,-1.3,
Shot Chart Detail,41900232,36,203914,Gary Harris,1610612743,Denver Nuggets,1,8,42,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,25,-204,152,1,0,20200905,LAC,DEN,4190023236,1980,0,200794|203914|203924|203999|1627750,0,PS,2020,202331,8.0,SF,Wing Stopper,0.41,MISS Harris 25' 3PT Pullup Jump Shot,SG,Movement Shooter,-1.3,
Shot Chart Detail,41900232,230,203914,Gary Harris,1610612743,Denver Nuggets,2,6,58,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-222,80,1,0,20200905,LAC,DEN,41900232230,10220,0,203914|203924|203999|1628420|1629008,0,PS,2020,202695,16.0,SF,Wing Stopper,1.84,MISS Harris 24' 3PT Jump Shot,SG,Movement Shooter,-1.3,
