GRID_TYPE,GAME_ID,EVENTNUM,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,assisted,season_type,year,DEF_ID,score_margin,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON,ASSIST_ID
Shot Chart Detail,22000058,209,1629216,Gabe Vincent,1610612748,Miami Heat,2,8,54,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,93,235,1,1,20201230,MIA,MIL,22000058209,9060,0,201609|203482|1628389|1629134|1629216,1,REG,2021,1627854,0.0,SG,Low Activity,-1.38,Vincent 25' 3PT Jump Shot (3 PTS) (Nunn 1 AST),PG,Secondary Ball Handler,-1.03,1629134.0
Shot Chart Detail,22000058,239,1629216,Gabe Vincent,1610612748,Miami Heat,2,7,43,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,114,188,1,0,20201230,MIA,MIL,22000058239,9770,0,202340|203482|1629134|1629216|1630173,0,REG,2021,1627854,-1.0,SG,Low Activity,-1.38,MISS Vincent 22' Jump Shot,PG,Secondary Ball Handler,-1.03,
Shot Chart Detail,22000058,245,1629216,Gabe Vincent,1610612748,Miami Heat,2,7,22,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,100,248,1,0,20201230,MIA,MIL,22000058245,9980,0,202340|203482|1629134|1629216|1630173,0,REG,2021,203507,-1.0,PF,Helper,2.53,MISS Vincent 27' 3PT Running Pull-Up Jump Shot,PG,Secondary Ball Handler,-1.03,
Shot Chart Detail,22000058,500,1629216,Gabe Vincent,1610612748,Miami Heat,3,1,41,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-232,-4,1,1,20201230,MIA,MIL,22000058500,20590,0,201609|203482|1629216|1629639|1630173,1,REG,2021,1628978,-3.0,SG,Chaser,1.45,Vincent 3PT Jump Shot (7 PTS) (Herro 3 AST),PG,Secondary Ball Handler,-1.03,1629639.0
Shot Chart Detail,22000058,503,1629216,Gabe Vincent,1610612748,Miami Heat,3,0,59,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,24,-242,4,1,0,20201230,MIA,MIL,22000058503,21010,0,201609|203482|1629216|1629639|1630173,0,REG,2021,201571,-6.0,PG,Point of Attack,-1.37,MISS Vincent 24' 3PT Jump Shot,PG,Secondary Ball Handler,-1.03,
Shot Chart Detail,22000058,590,1629216,Gabe Vincent,1610612748,Miami Heat,4,7,58,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-81,255,1,0,20201230,MIA,MIL,22000058590,24020,0,201609|202340|203482|1628389|1629216,0,REG,2021,1627854,4.0,SG,Low Activity,-1.38,MISS Vincent 27' 3PT Jump Shot,PG,Secondary Ball Handler,-1.03,
Shot Chart Detail,22000157,15,1629216,Gabe Vincent,1610612748,Miami Heat,1,10,49,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,52,257,1,0,20210112,PHI,MIA,2200015715,710,0,203482|1629130|1629216|1629639|1630173,0,REG,2021,203954,0.0,C,Anchor Big,1.07,MISS Vincent 26' 3PT Pullup Jump Shot,PG,Secondary Ball Handler,-1.03,
Shot Chart Detail,22000157,124,1629216,Gabe Vincent,1610612748,Miami Heat,1,1,53,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,152,205,1,0,20210112,PHI,MIA,22000157124,6070,0,2738|1629130|1629216|1629622|1629735,0,REG,2021,1630178,-11.0,SG,Point of Attack,-1.29,MISS Vincent 26' 3PT Jump Shot,PG,Secondary Ball Handler,-1.03,
Shot Chart Detail,22000157,168,1629216,Gabe Vincent,1610612748,Miami Heat,2,11,45,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,9,26,89,1,1,20210112,PHI,MIA,22000157168,7350,0,2738|1629130|1629216|1629639|1630173,1,REG,2021,1630178,-1.0,SG,Point of Attack,-1.29,Vincent 9' Driving Floating Jump Shot (2 PTS) (Herro 1 AST),PG,Secondary Ball Handler,-1.03,1629639.0
Shot Chart Detail,22000157,171,1629216,Gabe Vincent,1610612748,Miami Heat,2,11,20,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-148,239,1,1,20210112,PHI,MIA,22000157171,7600,0,2738|1629130|1629216|1629639|1630173,1,REG,2021,1630178,2.0,SG,Point of Attack,-1.29,Vincent 28' 3PT Jump Shot (5 PTS) (Herro 2 AST),PG,Secondary Ball Handler,-1.03,1629639.0
