PLAYER_ID,PLAYER_NAME,SHOT_ID,GRID_TYPE,GAME_ID,GAME_EVENT_ID,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,PLAYERS_ON,assisted,season_type,year,DEF_ID,DEF_POSITION,DEF_ROLE,D_LEBRON
1628964,Mo Bamba,22200003110,Shot Chart Detail,22200003,110,1610612753,Orlando Magic,1,3,7,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,237,100,1,0,20221019,DET,ORL,|1628964|1628976|1629626|1630532|1631216,0,REG,2023,,,,
1628964,Mo Bamba,22200003151,Shot Chart Detail,22200003,151,1610612753,Orlando Magic,1,0,51,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-120,234,1,0,20221019,DET,ORL,|1628964|1629626|1629643|1630532|1631216,0,REG,2023,1631105,C,Mobile Big,0.06
1628964,Mo Bamba,22200003168,Shot Chart Detail,22200003,168,1610612753,Orlando Magic,2,11,31,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,27,-125,240,1,0,20221019,DET,ORL,|1628964|1629626|1629643|1630532|1631216,0,REG,2023,1631105,C,Mobile Big,0.06
1628964,Mo Bamba,22200003435,Shot Chart Detail,22200003,435,1610612753,Orlando Magic,3,3,48,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,91,249,1,0,20221019,DET,ORL,|1628964|1630591|1631094|1631216|203082,0,REG,2023,1630595,PG,Chaser,-0.16
1628964,Mo Bamba,22200003477,Shot Chart Detail,22200003,477,1610612753,Orlando Magic,3,0,48,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,27,1,1,0,20221019,DET,ORL,|1628964|1629626|1629643|1630181|1631216,0,REG,2023,1630165,PG,Point of Attack,-0.82
1628964,Mo Bamba,22200020130,Shot Chart Detail,22200020,130,1610612753,Orlando Magic,1,2,8,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,20,-48,204,1,0,20221021,ATL,ORL,|1628964|1629643|1630175|1630532|203082,0,REG,2023,203991,C,Anchor Big,1.47
1628964,Mo Bamba,22200020151,Shot Chart Detail,22200020,151,1610612753,Orlando Magic,1,0,36,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,33,245,1,1,20221021,ATL,ORL,|1628964|1629626|1629643|1630175|1630181,1,REG,2023,203991,C,Anchor Big,1.47
1628964,Mo Bamba,22200020154,Shot Chart Detail,22200020,154,1610612753,Orlando Magic,1,0,13,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-126,209,1,0,20221021,ATL,ORL,|1628964|1629626|1629643|1630175|1630181,0,REG,2023,1630552,SF,Wing Stopper,0.69
1628964,Mo Bamba,22200020456,Shot Chart Detail,22200020,456,1610612753,Orlando Magic,3,3,19,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20221021,ATL,ORL,|1628964|1630175|1630532|1631094|203082,0,REG,2023,1629027,PG,Low Activity,-2.14
1628964,Mo Bamba,22200020519,Shot Chart Detail,22200020,519,1610612753,Orlando Magic,4,11,2,Missed Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,1,20,1,0,20221021,ATL,ORL,|1628964|1629626|1629643|1630175|1630181,0,REG,2023,1630168,C,Mobile Big,0.78
