GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SHOT_ID,time,extra,PLAYERS_ON,season_type,year,DEF_ID,DEF_POSITION,DEF_ROLE,D_LEBRON,dsc,OFF_POSITION,OFF_ROLE,O_LEBRON
Shot Chart Detail,22500004,18,1630170,Devin Vassell,1610612759,San Antonio Spurs,1,10,45,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,56,92,1,0,20251022,DAL,SAS,2250000418,750,0,203084|1630170|1630577|1641705|1642264,REG,2026,1642843|1641726,,,,,SG,NA_INDEX,
Shot Chart Detail,22500004,44,1630170,Devin Vassell,1610612759,San Antonio Spurs,1,8,41,Made Shot,Running Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,72,245,1,1,20251022,DAL,SAS,2250000444,1990,0,203084|1630170|1630577|1641705|1642264,REG,2026,1642843,SF,NA_INDEX,,Vassell 26' 3PT Running Jump Shot (3 PTS) (Castle 1 AST),SG,NA_INDEX,
Shot Chart Detail,22500004,93,1630170,Devin Vassell,1610612759,San Antonio Spurs,1,5,37,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-189,157,1,0,20251022,DAL,SAS,2250000493,3830,0,203084|1628436|1629640|1630170|1642264,REG,2026,1630230,SF,NA_INDEX,,MISS Vassell 25' 3PT Jump Shot,SG,NA_INDEX,
Shot Chart Detail,22500004,123,1630170,Devin Vassell,1610612759,San Antonio Spurs,1,3,47,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-116,72,1,1,20251022,DAL,SAS,22500004123,4930,0,1628436|1629162|1629640|1630170|1642844,REG,2026,1631108,SG,NA_INDEX,,Vassell 14' Pullup Jump Shot (5 PTS) (Johnson 1 AST),SG,NA_INDEX,
Shot Chart Detail,22500004,128,1630170,Devin Vassell,1610612759,San Antonio Spurs,1,3,19,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,16,48,157,1,1,20251022,DAL,SAS,22500004128,5210,0,1628436|1629162|1629640|1630170|1642844,REG,2026,203076|1642948,,,,,SG,NA_INDEX,
Shot Chart Detail,22500004,140,1630170,Devin Vassell,1610612759,San Antonio Spurs,1,2,51,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),16-24 ft.,18,-47,182,1,0,20251022,DAL,SAS,22500004140,5490,0,1628436|1629640|1630170|1641705|1642844,REG,2026,1626156,PG,NA_INDEX,,MISS Vassell 19' Pullup Jump Shot,SG,NA_INDEX,
Shot Chart Detail,22500004,312,1630170,Devin Vassell,1610612759,San Antonio Spurs,2,4,41,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Right Side(R),8-16 ft.,10,65,79,1,0,20251022,DAL,SAS,22500004312,11590,0,203084|1628436|1629640|1630170|1642844,REG,2026,1631108,SG,NA_INDEX,,MISS Vassell 10' Turnaround Fadeaway Shot,SG,NA_INDEX,
Shot Chart Detail,22500004,344,1630170,Devin Vassell,1610612759,San Antonio Spurs,2,2,21,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-104,227,1,0,20251022,DAL,SAS,22500004344,12990,0,1628436|1629640|1630170|1641705|1642844,REG,2026,1631108,SG,NA_INDEX,,MISS Vassell 25' 3PT Jump Shot,SG,NA_INDEX,
Shot Chart Detail,22500004,362,1630170,Devin Vassell,1610612759,San Antonio Spurs,2,1,33,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-28,10,1,1,20251022,DAL,SAS,22500004362,13470,0,1629640|1630170|1641705|1642264|1642844,REG,2026,203939,C,NA_INDEX,,Vassell 3' Running Layup (9 PTS),SG,NA_INDEX,
Shot Chart Detail,22500004,408,1630170,Devin Vassell,1610612759,San Antonio Spurs,3,11,2,Made Shot,Running Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-28,16,1,1,20251022,DAL,SAS,22500004408,14980,0,203084|1630170|1630577|1641705|1642264,REG,2026,202691,SF,NA_INDEX,,Vassell 3' Running Alley Oop Dunk Shot (11 PTS) (Castle 5 AST),SG,NA_INDEX,
